A punk rock frog in a studded leather jacket shouting into a microphone while standing on a stump || CyberRealistic_Negative
A teddy bear wearing a motorcycle helmet and cape is car surfing on a taxi cab in New York City|| CyberRealistic_Negative
A blue Porsche 356 parked in front of a yellow brick wall || CyberRealistic_Negative
A sloth in a go kart on a race track. The sloth is holding a banana in one hand. There is a banana peel on the track in the background.|| CyberRealistic_Negative
A smiling sloth wearing a bowtie and holding a quarterstaff and a big book. A shiny VW van parked on grass.
peaking through the blossoms to catch a glimpse .|| CyberRealistic_Negative
before the storm hit a city on wednesday morning , there was not a cloud in the sky .|| 
masterpiece,high quality,helicopter,military,from side|| low quality,worst quality,bad image, worst image, bad res
aerial view of the highway between agricultural fields
masterpiece, best quality, highly detailed, 4k, hdr, cinematic lighting,vase || low quality, normal quality, worst quality, blurry, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, jpeg artifacts, watermark, text, signature, cropped, out of focus
(masterpiece:1.4), (best quality:1.3), (ultra-detailed:1.3), (photorealistic:1.5), (hyperrealistic:1.4), (8k, UHD:1.3), cyberealism, advanced cybernetics, intricate digital architecture, high-tech aesthetics, sophisticated future design, glowing circuit patterns, holographic displays, data streams, fiber optics, brushed metal, chrome reflections, transparent tech, intricate wiring, integrated chips, cinematic lighting, volumetric light, dramatic shadows, vibrant neon glow, electric blues, magentas, deep purples, atmospheric haze, sharp focus, extreme detail, depth of field, bokeh, professional studio shot, wide angle, cinematic shot, high contrast, concept art, rendered in Octane, Unreal Engine 5, ZBrush, industrial design || deformed, bad anatomy, disfigured, poorly drawn face, mutated hands, extra limbs, missing limbs, malformed limbs, ugly, low quality, worst quality, jpeg artifacts, blurry, pixelated, watermark, text, signature, logo, cropped, out of frame, cartoon, sketch, painting, 3D render, illustration, drawing 
trippy, professional photography, landscape, fading black wall, filtering, decorative art, Far-reaching, shot on film, shot on Canon camera, fantastic colors, Bright Red and Bright Blue diverse color palette || CyberRealistic_Negative
Amivireg art style, breathtaking urban neo-noir cityscape at night with a giant meteor hurtling dangerously close to impact, towering brutalist and art-deco skyscrapers covered in glowing neon signs and holographic advertisements, rain-slicked streets reflecting crimson and electric blue neon lights, dense fog and volumetric god rays cutting through the darkness, flying cars and airships weaving between buildings, subtle cybernetic figures and shadowy trench-coated characters on the streets, dramatic sky dominated by a colossal meteor burning with a vivid blueish fiery hue as it tears through the atmosphere, intense orange-blue flames and plasma trails streaking behind it, glowing debris and sparks scattering, powerful atmospheric distortion and shockwaves visible, casting an eerie cyan-blue glow over the entire city, intricate layered composition with leading lines from wet neon streets upward to the incoming meteor, hyper-detailed rain droplets and reflections, exquisite light transmission with harsh neon highlights and deep noir shadows, cinematic depth of field, 8k masterpiece, photorealistic ||
black and white poto, medium shot, from below, masterpiece, intricate details, highly-detailed, hyper-realistic, A 25 years old female, pixie hair, black hair, black eyes, gothic make up, white shirt, in a room out of focus, shot on Canon EOS 5D, Ilford HP5 Plus, bokeh, dim light || Worst quality, (extra fingers), missing fingers, poorly rendered hands, mutation, deformed iris, deformed pupils, deformed limbs, extra limbs, extra hands, missing limbs, amputee, amputated limbs, , teeth, long neck, longer neck, negative_hand, watermark, logo , text, letters, words 
masterpiece, best quality, high aesthetic quality, amazing quality, realistic, rule of thirds, photorealistic, newest, absurdres, general, An old man, a pirate, in his 70s, with deep wrinkles and stringy, shoulder-length hair streaked with silver. It hangs down over his face, giving him a daring look. His beard, grown unevenly, is long on his chin, stringy and shaggy. Cunning little eyes, gray-green. A scar under his right eye. He grins, his uneven teeth are visible, slightly brown, one is missing. An old red scarf is wrapped around his wrinkled neck; his shirt is greasy at the collar, torn and yellowed. He stands on an old sailing ship. Surrounded by thick ropes, a battered wooden railing. Behind him, a fortress is visible. A wooden pier with a gallows standing on it can be faintly made out. It is dark; night. His face is half in shadow. depth of field, high contrast, dramatic shadows, highly detailed, high contrast, dramatic shadows, film grain, low light || lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, CyberRealistic_Negative
